"player_name","state","points_won","pre_rating","avg_opponent_score"
"GARY HUA","ON",6,1794,1605.28571428571
"DAKSHESH DARURI","MI",6,1553,1463.28571428571
"ADITYA BAJAJ","MI",6,1384,1563.57142857143
"PATRICK H SCHILLING","MI",5.5,1716,1573.57142857143
"HANSHI ZUO","MI",5.5,1655,1500.85714285714
"HANSEN SONG","OH",5,1686,1580
"GARY DEE SWATHELL","MI",5,1649,1372.14285714286
"EZEKIEL HOUGHTON","MI",5,1641,1468.42857142857
"STEFANO LEE","ON",5,1411,1517.14285714286
"ANVIT RAO","MI",5,1365,1554.14285714286
"CAMERON WILLIAM MC LEMAN","MI",4.5,1712,1467.57142857143
"KENNETH J TACK","MI",4.5,1663,1506.16666666667
"TORRANCE HENRY JR","MI",4.5,1666,1497.85714285714
"BRADLEY SHAW","MI",4.5,1610,1515
"ZACHARY JAMES HOUGHTON","MI",4.5,1220,1464.14285714286
"MIKE NIKITIN","MI",4,1604,1471.6
"RONALD GRZEGORCZYK","MI",4,1629,1498.57142857143
"DAVID SUNDEEN","MI",4,1600,1541.28571428571
"DIPANKAR ROY","MI",4,1564,1487.57142857143
"JASON ZHENG","MI",4,1595,1463.42857142857
"DINH DANG BUI","ON",4,1563,1523
"EUGENE L MCCLURE","MI",4,1555,1361.66666666667
"ALAN BUI","ON",4,1363,1207.85714285714
"MICHAEL R ALDRICH","MI",4,1229,1459.71428571429
"LOREN SCHWIEBERT","MI",3.5,1745,1424.57142857143
"MAX ZHU","ON",3.5,1579,1559.42857142857
"GAURAV GIDWANI","MI",3.5,1552,1221.66666666667
"SOFIA ADINA STANESCU-BELLU","MI",3.5,1507,1516.14285714286
"CHIEDOZIE OKORIE","MI",3.5,1602,1413.33333333333
"GEORGE AVERY JONES","ON",3.5,1522,1229.71428571429
"RISHI SHETTY","MI",3.5,1494,1387
"JOSHUA PHILIP MATHEWS","ON",3.5,1441,1378.71428571429
"JADE GE","MI",3.5,1449,1465.14285714286
"MICHAEL JEFFERY THOMAS","MI",3.5,1399,1478
"JOSHUA DAVID LEE","MI",3.5,1438,1149.71428571429
"SIDDHARTH JHA","MI",3.5,1355,1388.16666666667
"AMIYATOSH PWNANANDAM","MI",3.5,980,1384.8
"BRIAN LIU","MI",3,1423,1539.16666666667
"JOEL R HENDON","MI",3,1436,1482.14285714286
"FOREST ZHANG","MI",3,1348,1384.57142857143
"KYLE WILLIAM MURPHY","MI",3,1403,1238
"JARED GE","MI",3,1332,1338.14285714286
"ROBERT GLEN VASEY","MI",3,1283,1106.57142857143
"JUSTIN D SCHILLING","MI",3,1199,1327
"DEREK YAN","MI",3,1242,1254.71428571429
"JACOB ALEXANDER LAVALLEY","MI",3,377,1443.28571428571
"ERIC WRIGHT","MI",2.5,1362,1392
"DANIEL KHAIN","MI",2.5,1382,1355.8
"MICHAEL J MARTIN","MI",2.5,1291,1277.4
"SHIVAM JHA","MI",2.5,1056,1273
"TEJAS AYYAGARI","MI",2.5,1011,1356.14285714286
"ETHAN GUO","MI",2.5,935,1474.85714285714
"JOSE C YBARRA","MI",2,1393,1345.33333333333
"LARRY HODGE","MI",2,1270,1206.16666666667
"ALEX KONG","MI",2,1186,1454.5
"MARISA RICCI","MI",2,1153,1488
"MICHAEL LU","MI",2,1092,1363
"VIRAJ MOHILE","MI",2,917,1391
"SEAN M MC CORMICK","MI",2,853,1380.33333333333
"JULIA SHEN","MI",1.5,967,1330.2
"JEZZEL FARKAS","ON",1.5,955,1307.57142857143
"ASHWIN BALAJI","MI",1,1530,1186
"THOMAS JOSEPH HOSMER","MI",1,1175,1350.2
"BEN LI","MI",1,1163,1243.28571428571
